"","Database_selected","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","link"
"25","Reactome_2016","Autodegradation of the E3 ubiquitin ligase COP1_Homo sapiens_R-HSA-349425","9/51",4.2e-06,0.0002598,0,0,7.0588235,87.3159662,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"26","Reactome_2016","TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541","12/95",4.3e-06,0.0002559,0,0,5.0526316,62.3772527,"PSMD8;EDARADD;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;TNFRSF25;PSMA7;NFKB2","http://www.reactome.org/download/index.html"
"27","Reactome_2016","p53-Independent DNA Damage Response_Homo sapiens_R-HSA-69610","9/52",5e-06,0.0002845,0,0,6.9230769,84.4745455,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"28","Reactome_2016","p53-Independent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69613","9/52",5e-06,0.0002744,0,0,6.9230769,84.4745455,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"29","Reactome_2016","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A_Homo sapiens_R-HSA-69601","9/52",5e-06,0.0002649,0,0,6.9230769,84.4745455,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"30","Reactome_2016","Activation of NF-kappaB in B cells_Homo sapiens_R-HSA-1169091","10/66",5.2e-06,0.0002674,0,0,6.0606061,73.6890072,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7","http://www.reactome.org/download/index.html"
"31","Reactome_2016","Regulation of RAS by GAPs_Homo sapiens_R-HSA-5658442","10/67",6e-06,0.0002974,0,0,5.9701493,71.7574383,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"32","Reactome_2016","CLEC7A (Dectin-1) signaling_Homo sapiens_R-HSA-5607764","12/99",6.7e-06,0.0003213,0,0,4.8484848,57.7473382,"PYCARD;PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7;NFKB2","http://www.reactome.org/download/index.html"
"33","Reactome_2016","Hedgehog 'off' state_Homo sapiens_R-HSA-5610787","12/99",6.7e-06,0.0003116,0,0,4.8484848,57.7473382,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;IFT172;PRKAR2A;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"34","Reactome_2016","SCF-beta-TrCP mediated degradation of Emi1_Homo sapiens_R-HSA-174113","9/54",6.9e-06,0.0003124,0,0,6.6666667,79.1850749,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"35","Reactome_2016","Stabilization of p53_Homo sapiens_R-HSA-69541","9/54",6.9e-06,0.0003035,0,0,6.6666667,79.1850749,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"36","Reactome_2016","AUF1 (hnRNP D0) binds and destabilizes mRNA_Homo sapiens_R-HSA-450408","9/54",6.9e-06,0.0002951,0,0,6.6666667,79.1850749,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"37","Reactome_2016","G2/M Transition_Homo sapiens_R-HSA-69275","16/173",7.5e-06,0.0003102,0,0,3.699422,43.6542811,"PSMD14;TUBGCP2;CSNK1D;HAUS5;CDK11B;PSMA7;PSMD8;PSMA6;PCM1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;FGFR1OP;RAB8A","http://www.reactome.org/download/index.html"
"38","Reactome_2016","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD_Homo sapiens_R-HSA-5362768","9/55",8.1e-06,0.0003269,0,0,6.5454545,76.720681,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"39","Reactome_2016","Hedgehog 'on' state_Homo sapiens_R-HSA-5632684","11/85",8.6e-06,0.000337,0,0,5.1764706,60.3825817,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;SMURF1;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"40","Reactome_2016","Mitotic G2-G2/M phases_Homo sapiens_R-HSA-453274","16/175",8.7e-06,0.0003323,0,0,3.6571429,42.6191828,"PSMD14;TUBGCP2;CSNK1D;HAUS5;CDK11B;PSMA7;PSMD8;PSMA6;PCM1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;FGFR1OP;RAB8A","http://www.reactome.org/download/index.html"
"41","Reactome_2016","Class I MHC mediated antigen processing & presentation_Homo sapiens_R-HSA-983169","22/305",9.6e-06,0.0003565,0,0,2.8852459,33.3497969,"UBE2F;PSMD14;SMURF1;UBE4A;CYBA;FBXO44;PSMA7;RBX1;PSMD8;SEC61A2;PSMA6;PSMB4;PSMA4;HECTD1;HERC1;PSMA2;PSMB3;PSMB1;TCEB2;TPP2;B2M;UNKL","http://www.reactome.org/download/index.html"
"970","WikiPathways_2019_Human","Electron Transport Chain (OXPHOS system in mitochondria) WP111","12/103",1.02e-05,0.0047943,0,0,4.6601942,53.5796656,"NDUFA9;COX7B;NDUFS8;NDUFB10;NDUFS7;NDUFB6;UCP3;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A","https://www.wikipathways.org/"
"42","Reactome_2016","Hh mutants abrogate ligand secretion_Homo sapiens_R-HSA-5387390","9/57",1.1e-05,0.0004004,0,0,6.3157895,72.1164459,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"43","Reactome_2016","Respiratory electron transport_Homo sapiens_R-HSA-611105","11/88",1.2e-05,0.0004287,0,0,5,56.6329502,"NDUFA9;COX7B;NDUFS8;NDUFS7;NDUFB6;NDUFB10;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A","http://www.reactome.org/download/index.html"
"44","Reactome_2016","CDT1 association with the CDC6:ORC:origin complex_Homo sapiens_R-HSA-68827","9/58",1.27e-05,0.0004425,0,0,6.2068966,69.9637981,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"45","Reactome_2016","The role of GTSE1 in G2/M progression after G2 checkpoint_Homo sapiens_R-HSA-8852276","9/59",1.47e-05,0.0004994,0,0,6.1016949,67.9030563,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"46","Reactome_2016","SCF(Skp2)-mediated degradation of p27/p21_Homo sapiens_R-HSA-187577","9/59",1.47e-05,0.0004885,0,0,6.1016949,67.9030563,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"47","Reactome_2016","Beta-catenin independent WNT signaling_Homo sapiens_R-HSA-3858494","14/144",1.57e-05,0.0005117,0,0,3.8888889,43.0139272,"PSMD14;SMURF1;RYK;AP2A2;PSMA7;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;DVL3;TNRC6A","http://www.reactome.org/download/index.html"
"48","Reactome_2016","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200","12/109",1.82e-05,0.0005795,0,0,4.4036697,48.0666185,"NDUFA9;COX7B;NDUFS8;NDUFB10;NDUFS7;NDUFB6;UCP3;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A","http://www.reactome.org/download/index.html"
"49","Reactome_2016","Autodegradation of Cdh1 by Cdh1:APC/C_Homo sapiens_R-HSA-174084","9/62",2.22e-05,0.0006928,0,0,5.8064516,62.22142,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"971","WikiPathways_2019_Human","Proteasome Degradation WP183","9/62",2.22e-05,0.0052366,0,0,5.8064516,62.22142,"PSMD8;PSMA6;PSMB4;PSMA4;H2AFZ;PSMA2;PSMB3;PSMB1;PSMA7","https://www.wikipathways.org/"
"50","Reactome_2016","p53-Dependent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69580","9/63",2.53e-05,0.0007748,0,0,5.7142857,60.4792325,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"51","Reactome_2016","p53-Dependent G1 DNA Damage Response_Homo sapiens_R-HSA-69563","9/63",2.53e-05,0.0007596,0,0,5.7142857,60.4792325,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"52","Reactome_2016","Hedgehog ligand biogenesis_Homo sapiens_R-HSA-5358346","9/64",2.88e-05,0.000848,0,0,5.625,58.8060887,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"777","KEGG_2019_Human","Oxidative phosphorylation","13/133",2.97e-05,0.0045749,0,0,3.9097744,40.7559336,"NDUFA9;COX7B;ATP6V0E1;NDUFB10;NDUFB6;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A;NDUFS8;NDUFS7;ATP6V1E1","https://www.kegg.jp/"
"53","Reactome_2016","Mitotic Anaphase_Homo sapiens_R-HSA-68882","15/173",3.09e-05,0.0008928,0,0,3.4682081,36.0136176,"ANKLE2;AHCTF1;PSMD14;LEMD2;PSMA7;PSMD8;PSMA6;STAG1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;NUP98;CLASP2","http://www.reactome.org/download/index.html"
"54","Reactome_2016","The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517","14/153",3.11e-05,0.0008825,0,0,3.6601307,37.9803625,"NDUFA9;COX7B;NDUFB10;NDUFB6;MDH2;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A;NDUFS8;NDUFS7;MPC2;UCP3","http://www.reactome.org/download/index.html"
"55","Reactome_2016","Antigen processing: Ubiquitination & Proteasome degradation_Homo sapiens_R-HSA-983168","19/260",3.21e-05,0.0008928,0,0,2.9230769,30.2446554,"UBE2F;PSMD14;SMURF1;UBE4A;FBXO44;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;HECTD1;HERC1;PSMA2;PSMB3;PSMB1;TCEB2;TPP2;UNKL","http://www.reactome.org/download/index.html"
"56","Reactome_2016","G1/S DNA Damage Checkpoints_Homo sapiens_R-HSA-69615","9/65",3.27e-05,0.000894,0,0,5.5384615,57.1983229,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"57","Reactome_2016","Mitotic Metaphase and Anaphase_Homo sapiens_R-HSA-2555396","15/174",3.31e-05,0.000888,0,0,3.4482759,35.5742846,"ANKLE2;AHCTF1;PSMD14;LEMD2;PSMA7;PSMD8;PSMA6;STAG1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;NUP98;CLASP2","http://www.reactome.org/download/index.html"
"58","Reactome_2016","APC/C:Cdc20 mediated degradation of Securin_Homo sapiens_R-HSA-174154","9/66",3.71e-05,0.0009776,0,0,5.4545455,55.6525147,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"59","Reactome_2016","Downstream TCR signaling_Homo sapiens_R-HSA-202424","11/99",3.71e-05,0.0009615,0,0,4.4444444,45.3442464,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;INPP5D;PSMB1;CARD11;PSMA7","http://www.reactome.org/download/index.html"
"60","Reactome_2016","Degradation of beta-catenin by the destruction complex_Homo sapiens_R-HSA-195253","10/82",3.72e-05,0.0009489,0,0,4.8780488,49.7509014,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"61","Reactome_2016","Signaling by Hedgehog_Homo sapiens_R-HSA-5358351","13/136",3.76e-05,0.0009434,0,0,3.8235294,38.9548325,"PSMD14;SMURF1;IFT172;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PRKAR2A;PSMB1","http://www.reactome.org/download/index.html"
"62","Reactome_2016","Assembly of the pre-replicative complex_Homo sapiens_R-HSA-68867","9/67",4.19e-05,0.0010334,0,0,5.3731343,54.1654695,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"63","Reactome_2016","TCF dependent signaling in response to WNT_Homo sapiens_R-HSA-201681","16/199",4.28e-05,0.0010405,0,0,3.2160804,32.3471475,"PSMD14;TRRAP;RYK;TNKS;H2AFZ;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;DVL3","http://www.reactome.org/download/index.html"
"64","Reactome_2016","Metabolism of polyamines_Homo sapiens_R-HSA-351202","10/84",4.59e-05,0.0010981,0,0,4.7619048,47.5633897,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;OAZ1;PSMA7","http://www.reactome.org/download/index.html"
"65","Reactome_2016","Cyclin E associated events during G1/S transition_Homo sapiens_R-HSA-69202","9/68",4.72e-05,0.0011113,0,0,5.2941176,52.7342001,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"66","Reactome_2016","Cyclin A:Cdk2-associated events at S phase entry_Homo sapiens_R-HSA-69656","9/69",5.31e-05,0.0012311,0,0,5.2173913,51.3559107,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"67","Reactome_2016","Signaling by Wnt_Homo sapiens_R-HSA-195721","20/295",5.79e-05,0.0013219,0,0,2.7118644,26.4598053,"PSMD14;TRRAP;RYK;TNKS;SMURF1;H2AFZ;AP2A2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PORCN;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;DVL3;TNRC6A","http://www.reactome.org/download/index.html"
"68","Reactome_2016","Switching of origins to a post-replicative state_Homo sapiens_R-HSA-69052","9/70",5.96e-05,0.0013413,0,0,5.1428571,50.0279823,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"69","Reactome_2016","Orc1 removal from chromatin_Homo sapiens_R-HSA-68949","9/70",5.96e-05,0.0013218,0,0,5.1428571,50.0279823,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"70","Reactome_2016","C-type lectin receptors (CLRs)_Homo sapiens_R-HSA-5621481","12/123",6.09e-05,0.0013308,0,0,3.902439,37.8789743,"PYCARD;PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7;NFKB2","http://www.reactome.org/download/index.html"
"71","Reactome_2016","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1_Homo sapiens_R-HSA-174178","9/71",6.68e-05,0.001439,0,0,5.0704225,48.7479587,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"72","Reactome_2016","Cdc20:Phospho-APC/C mediated degradation of Cyclin A_Homo sapiens_R-HSA-174184","9/71",6.68e-05,0.001419,0,0,5.0704225,48.7479587,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"73","Reactome_2016","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint_Homo sapiens_R-HSA-179419","9/72",7.46e-05,0.0015646,0,0,5,47.513535,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"74","Reactome_2016","Removal of licensing factors from origins_Homo sapiens_R-HSA-69300","9/72",7.46e-05,0.0015434,0,0,5,47.513535,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"972","WikiPathways_2019_Human","mRNA Processing WP411","12/126",7.7e-05,0.0121212,0,0,3.8095238,36.0806302,"DHX8;POLR2A;CELF1;SNRNP70;HNRNPH1;PRPF3;PRPF4B;CLASRP;SUPT5H;RBMX;SUGP2;RBM5","https://www.wikipathways.org/"
"75","Reactome_2016","APC/C:Cdc20 mediated degradation of mitotic proteins_Homo sapiens_R-HSA-176409","9/74",9.28e-05,0.0018922,0,0,4.8648649,45.1729551,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"76","Reactome_2016","MAPK6/MAPK4 signaling_Homo sapiens_R-HSA-5687128","10/92",0.0001004,0.0020215,0,0,4.3478261,40.0270043,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;TNRC6A","http://www.reactome.org/download/index.html"
"77","Reactome_2016","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins_Homo sapiens_R-HSA-176814","9/75",0.0001031,0.0020487,0,0,4.8,44.0628474,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
"78","Reactome_2016","Regulation of DNA replication_Homo sapiens_R-HSA-69304","9/75",0.0001031,0.0020224,0,0,4.8,44.0628474,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7","http://www.reactome.org/download/index.html"
