X1,Database_selected,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,link
46,Reactome_2016,SCF(Skp2)-mediated degradation of p27/p21_Homo sapiens_R-HSA-187577,9/59,1.47e-5,4.885e-4,0,0,6.1016949,67.9030563,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
47,Reactome_2016,Beta-catenin independent WNT signaling_Homo sapiens_R-HSA-3858494,14/144,1.57e-5,5.117e-4,0,0,3.8888889,43.0139272,PSMD14;SMURF1;RYK;AP2A2;PSMA7;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;DVL3;TNRC6A,http://www.reactome.org/download/index.html
48,Reactome_2016,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200",12/109,1.82e-5,5.795e-4,0,0,4.4036697,48.0666185,NDUFA9;COX7B;NDUFS8;NDUFB10;NDUFS7;NDUFB6;UCP3;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A,http://www.reactome.org/download/index.html
49,Reactome_2016,Autodegradation of Cdh1 by Cdh1:APC/C_Homo sapiens_R-HSA-174084,9/62,2.22e-5,6.928e-4,0,0,5.8064516,62.22142,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
971,WikiPathways_2019_Human,Proteasome Degradation WP183,9/62,2.22e-5,0.0052366,0,0,5.8064516,62.22142,PSMD8;PSMA6;PSMB4;PSMA4;H2AFZ;PSMA2;PSMB3;PSMB1;PSMA7,https://www.wikipathways.org/
50,Reactome_2016,p53-Dependent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69580,9/63,2.53e-5,7.748e-4,0,0,5.7142857,60.4792325,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
51,Reactome_2016,p53-Dependent G1 DNA Damage Response_Homo sapiens_R-HSA-69563,9/63,2.53e-5,7.596e-4,0,0,5.7142857,60.4792325,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
52,Reactome_2016,Hedgehog ligand biogenesis_Homo sapiens_R-HSA-5358346,9/64,2.88e-5,8.48e-4,0,0,5.625,58.8060887,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
777,KEGG_2019_Human,Oxidative phosphorylation,13/133,2.97e-5,0.0045749,0,0,3.9097744,40.7559336,NDUFA9;COX7B;ATP6V0E1;NDUFB10;NDUFB6;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A;NDUFS8;NDUFS7;ATP6V1E1,https://www.kegg.jp/
53,Reactome_2016,Mitotic Anaphase_Homo sapiens_R-HSA-68882,15/173,3.09e-5,8.928e-4,0,0,3.4682081,36.0136176,ANKLE2;AHCTF1;PSMD14;LEMD2;PSMA7;PSMD8;PSMA6;STAG1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;NUP98;CLASP2,http://www.reactome.org/download/index.html
54,Reactome_2016,The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517,14/153,3.11e-5,8.825e-4,0,0,3.6601307,37.9803625,NDUFA9;COX7B;NDUFB10;NDUFB6;MDH2;NDUFA1;NDUFC2;UQCR11;UQCR10;COX5A;NDUFS8;NDUFS7;MPC2;UCP3,http://www.reactome.org/download/index.html
55,Reactome_2016,Antigen processing: Ubiquitination & Proteasome degradation_Homo sapiens_R-HSA-983168,19/260,3.21e-5,8.928e-4,0,0,2.9230769,30.2446554,UBE2F;PSMD14;SMURF1;UBE4A;FBXO44;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;HECTD1;HERC1;PSMA2;PSMB3;PSMB1;TCEB2;TPP2;UNKL,http://www.reactome.org/download/index.html
56,Reactome_2016,G1/S DNA Damage Checkpoints_Homo sapiens_R-HSA-69615,9/65,3.27e-5,8.94e-4,0,0,5.5384615,57.1983229,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
57,Reactome_2016,Mitotic Metaphase and Anaphase_Homo sapiens_R-HSA-2555396,15/174,3.31e-5,8.88e-4,0,0,3.4482759,35.5742846,ANKLE2;AHCTF1;PSMD14;LEMD2;PSMA7;PSMD8;PSMA6;STAG1;PSMB4;PSMA4;PSMA2;PSMB3;PSMB1;NUP98;CLASP2,http://www.reactome.org/download/index.html
58,Reactome_2016,APC/C:Cdc20 mediated degradation of Securin_Homo sapiens_R-HSA-174154,9/66,3.71e-5,9.776e-4,0,0,5.4545455,55.6525147,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
59,Reactome_2016,Downstream TCR signaling_Homo sapiens_R-HSA-202424,11/99,3.71e-5,9.615e-4,0,0,4.4444444,45.3442464,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;INPP5D;PSMB1;CARD11;PSMA7,http://www.reactome.org/download/index.html
60,Reactome_2016,Degradation of beta-catenin by the destruction complex_Homo sapiens_R-HSA-195253,10/82,3.72e-5,9.489e-4,0,0,4.8780488,49.7509014,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1,http://www.reactome.org/download/index.html
61,Reactome_2016,Signaling by Hedgehog_Homo sapiens_R-HSA-5358351,13/136,3.76e-5,9.434e-4,0,0,3.8235294,38.9548325,PSMD14;SMURF1;IFT172;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;PRKAR2A;PSMB1,http://www.reactome.org/download/index.html
62,Reactome_2016,Assembly of the pre-replicative complex_Homo sapiens_R-HSA-68867,9/67,4.19e-5,0.0010334,0,0,5.3731343,54.1654695,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
63,Reactome_2016,TCF dependent signaling in response to WNT_Homo sapiens_R-HSA-201681,16/199,4.28e-5,0.0010405,0,0,3.2160804,32.3471475,PSMD14;TRRAP;RYK;TNKS;H2AFZ;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;DVL3,http://www.reactome.org/download/index.html
64,Reactome_2016,Metabolism of polyamines_Homo sapiens_R-HSA-351202,10/84,4.59e-5,0.0010981,0,0,4.7619048,47.5633897,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;OAZ1;PSMA7,http://www.reactome.org/download/index.html
65,Reactome_2016,Cyclin E associated events during G1/S transition_Homo sapiens_R-HSA-69202,9/68,4.72e-5,0.0011113,0,0,5.2941176,52.7342001,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
66,Reactome_2016,Cyclin A:Cdk2-associated events at S phase entry_Homo sapiens_R-HSA-69656,9/69,5.31e-5,0.0012311,0,0,5.2173913,51.3559107,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
67,Reactome_2016,Signaling by Wnt_Homo sapiens_R-HSA-195721,20/295,5.79e-5,0.0013219,0,0,2.7118644,26.4598053,PSMD14;TRRAP;RYK;TNKS;SMURF1;H2AFZ;AP2A2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PORCN;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;DVL3;TNRC6A,http://www.reactome.org/download/index.html
68,Reactome_2016,Switching of origins to a post-replicative state_Homo sapiens_R-HSA-69052,9/70,5.96e-5,0.0013413,0,0,5.1428571,50.0279823,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
69,Reactome_2016,Orc1 removal from chromatin_Homo sapiens_R-HSA-68949,9/70,5.96e-5,0.0013218,0,0,5.1428571,50.0279823,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
70,Reactome_2016,C-type lectin receptors (CLRs)_Homo sapiens_R-HSA-5621481,12/123,6.09e-5,0.0013308,0,0,3.902439,37.8789743,PYCARD;PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;CARD11;PSMA7;NFKB2,http://www.reactome.org/download/index.html
71,Reactome_2016,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1_Homo sapiens_R-HSA-174178,9/71,6.68e-5,0.001439,0,0,5.0704225,48.7479587,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
72,Reactome_2016,Cdc20:Phospho-APC/C mediated degradation of Cyclin A_Homo sapiens_R-HSA-174184,9/71,6.68e-5,0.001419,0,0,5.0704225,48.7479587,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
73,Reactome_2016,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint_Homo sapiens_R-HSA-179419,9/72,7.46e-5,0.0015646,0,0,5,47.513535,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
74,Reactome_2016,Removal of licensing factors from origins_Homo sapiens_R-HSA-69300,9/72,7.46e-5,0.0015434,0,0,5,47.513535,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
972,WikiPathways_2019_Human,mRNA Processing WP411,12/126,7.7e-5,0.0121212,0,0,3.8095238,36.0806302,DHX8;POLR2A;CELF1;SNRNP70;HNRNPH1;PRPF3;PRPF4B;CLASRP;SUPT5H;RBMX;SUGP2;RBM5,https://www.wikipathways.org/
75,Reactome_2016,APC/C:Cdc20 mediated degradation of mitotic proteins_Homo sapiens_R-HSA-176409,9/74,9.28e-5,0.0018922,0,0,4.8648649,45.1729551,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
76,Reactome_2016,MAPK6/MAPK4 signaling_Homo sapiens_R-HSA-5687128,10/92,1.004e-4,0.0020215,0,0,4.3478261,40.0270043,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;TNRC6A,http://www.reactome.org/download/index.html
77,Reactome_2016,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins_Homo sapiens_R-HSA-176814,9/75,1.031e-4,0.0020487,0,0,4.8,44.0628474,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
78,Reactome_2016,Regulation of DNA replication_Homo sapiens_R-HSA-69304,9/75,1.031e-4,0.0020224,0,0,4.8,44.0628474,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7,http://www.reactome.org/download/index.html
79,Reactome_2016,FCERI mediated NF-kB activation_Homo sapiens_R-HSA-2871837,11/111,1.064e-4,0.0020612,0,0,3.963964,36.262554,PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;RASGRP2;CARD11;PSMA7,http://www.reactome.org/download/index.html
